#,command,apropos
1,"archive_entry_linkresolver(3), archive_entry_linkresolver_new(3), archive_entry_linkresolver_set_strategy(3), archive_entry_linkresolver_free(3), archive_entry_linkify(3) ", hardlink resolver functions
2,ffi_prep_cif(3)          , Prepare a ffi_cif structure for use with ffi_call
3,ffi_prep_cif_var(3)      , Prepare a ffi_cif structure for use with ffi_call for variadic functions
4,genccode(8)              , generate C or platform specific assembly code from an ICU data file
5,icupkg(8)                , extract or modify an ICU .dat archive
6,kdc.conf(5)              , Kerberos V5 KDC configuration file rst2man
7,krb5.conf(5)             , Kerberos configuration file rst2man
8,libssh2_poll_channel_read(3) , check if data is available
9,libssh2_sftp_last_error(3) , return the last SFTP
10,msguniq(1)               , unify duplicate translations in message catalog
11,xmlwf(1)                 , Determines if an XML document is well
12,"xzcmp(1), xzdiff(1), lzcmp(1), lzdiff(1) ", compare compressed files
13,zmq_msg_init_size(3)     , initialise 0MQ message of a specified size
14,zmq_msg_more(3)          , indicate if there are more message parts to receive
15,zmq_msg_routing_id(3)    ," return routing ID for message, if any"
16,CPAN::HandleConfig(3)    ," internal configuration handling for CPAN.pm n .SS """"""CLASS"
17,CPAN::Kwalify(3)         , Interface between CPAN.pm and Kwalify.pm
18,CPAN::Meta::History::Meta_1_0(3) , Version 1.0 metadata specification for META.yml
19,CPAN::Meta::History::Meta_1_1(3) , Version 1.1 metadata specification for META.yml
20,CPAN::Meta::History::Meta_1_2(3) , Version 1.2 metadata specification for META.yml
21,CPAN::Meta::History::Meta_1_3(3) , Version 1.3 metadata specification for META.yml
22,CPAN::Meta::History::Meta_1_4(3) , Version 1.4 metadata specification for META.yml
23,CPAN::Meta::Spec(3)      , specification for CPAN distribution metadata
24,Data::Dumper(3)          ," stringified perl data structures, suitable for both printing and ""eval"""
25,ExtUtils::MM_AIX(3)      , AIX specific subclass of ExtUtils::MM_Unix
26,ExtUtils::MM_DOS(3)      , DOS specific subclass of ExtUtils::MM_Unix
27,ExtUtils::MM_QNX(3)      , QNX specific subclass of ExtUtils::MM_Unix
28,ExtUtils::MM_UWIN(3)     , U/WIN specific subclass of ExtUtils::MM_Unix
29,ExtUtils::MM_VOS(3)      , VOS specific subclass of ExtUtils::MM_Unix
30,ExtUtils::Manifest(3)    , Utilities to write and check a MANIFEST file
31,ExtUtils::Typemaps(3)    , Read/Write/Modify Perl/XS typemap files
32,FcInitBringUptoDate(3)   , reload configuration files if needed
